,LOCATION,TIME,A0101,A0102,A0103,A0104,A0105,A0106,A0107,A0108,A0109,A0110,A0111,A0112,Value
19,Austria,1997,4108.9060944444445,1371.3417502222223,2728.457071111111,8056.509275333334,2796.6873744444442,5112.427472222222,4742.453817777778,758.8744066666667,4209.634417777777,3456.3160177777777,4050.69298,5139.1368,105.0
20,Austria,1998,4134.87404,1453.4945906666667,2756.6674222222223,8293.207795,2806.232078222222,5477.970662222222,4853.885137777778,817.7972088888889,4434.233936666667,3589.570128888889,4386.441688888889,5418.631929555555,106.0
21,Austria,1999,3512.134262142857,1309.2727321428572,2345.5180014285716,7587.366397714286,2488.7302127857142,4901.367887857143,4352.972547142857,767.4587242857143,3957.853337142857,2987.6313692857143,3940.0880339285713,4711.042974999999,101.0
22,Austria,2000,3668.050760714286,1348.2325510714286,2392.914897142857,7949.3230765,2632.4488112857143,5102.293725714286,4649.665077142857,1081.3690883571428,4194.190239285715,3102.7881885714282,4180.520261928572,5065.905119785714,90.0
23,Austria,2001,3818.8638992857145,1371.1848395,2440.9005364285717,8222.266814999999,2596.4149535714287,5276.760465,4635.5021585714285,1081.1887115,4309.585477857143,3198.8149507142857,4141.896513571429,5107.650291428572,93.0
24,Austria,2002,3880.67125,1447.2483600714284,2516.822722142857,8474.122522928572,2599.6004,5689.122396428572,4815.000672142857,1098.6577065,4416.103623571428,3288.46864,4287.301375,5085.0710928571425,95.0
25,Austria,2003,3384.9394220833333,1274.3064881666667,2144.73488125,7592.633331958333,2326.67939,5176.805330666667,4336.0267699999995,980.1314958333334,3990.6990299166664,2732.1621037500004,4122.506102708333,4642.650762916667,104.0
26,Austria,2004,3514.482356666667,1317.92982975,2179.5009870833333,8003.338244,2495.510225958333,5423.670246125,4574.775539583333,1020.1104300000001,4096.759625291666,2772.918295833333,4250.546162208333,4992.926464708334,108.0
27,Austria,2005,3636.8262620833334,1422.7493483750002,2329.732538333333,8690.601904333334,2565.4879640416666,5617.232575416667,4845.94086875,1086.7991068333333,4244.561897541666,2896.5610629166663,4297.680099375,5344.537173541667,108.0
28,Austria,2006,3719.785055,1426.0533860833332,2386.01124875,9107.397378916667,2605.2619589166666,5870.047854,5098.097472083334,1096.7961960416667,4466.0496745,3022.13854375,4424.31596375,5756.616666291667,108.0
29,Austria,2007,3857.411415,1503.8647711249998,2420.32731,9358.700177708333,2715.54649125,5807.17148375,5272.57866625,1110.311492625,4542.657826041666,3068.9338933333333,4671.81347175,6178.579551,115.0
30,Austria,2008,3945.6970475,1493.0174346666665,2576.3804400833333,9680.832705291667,2731.2682254166666,6052.896957916667,5357.0592987499995,1088.293779625,4692.158952083333,3184.5857604166667,4819.221212916666,6074.332564166667,119.0
31,Austria,2009,3910.4755508333333,1529.8919672499999,2510.05879525,9467.069749916667,2754.574947083333,6133.397200833333,5204.920844166667,1062.2142681666667,4727.99256875,3268.9437775,4949.456820833334,6059.819376666666,116.0
32,Austria,2010,3989.0442154166667,1634.5073945000001,2624.225460166667,9901.85847325,2864.745391666667,6225.687559166666,5469.465425416667,1024.3874156250001,4720.994648333333,3341.8676362499996,5138.5170385833335,6184.68976125,110.0
33,Austria,2011,4056.891452083333,1663.5583223333333,2788.2453315000002,10398.349666791666,2968.1873295833334,6325.698101666666,5883.482115,1013.1402918333333,4928.945009166667,3397.595752083333,5422.7564741666665,6338.6539999999995,111.0
34,Austria,2012,4234.486547083333,1739.3129629166667,2841.5294799999997,10718.02716725,3052.577910416667,6626.743637083334,6065.323917916667,1013.8974137083333,5135.39197375,3537.406789166667,5730.60996875,6446.423422916666,104.0
35,Austria,2013,4333.852225,1753.576023375,2933.748224333333,10975.813686125,3078.7529933333335,6966.687273750001,6020.46763375,1020.2043859166666,5131.770307083333,3632.0095395833337,5893.70873875,6571.927614166667,108.0
36,Austria,2014,4381.327009583333,1769.9451425,2940.350930125,11314.019507291667,3109.2370583333336,7283.386709166666,5969.899944125001,987.834318875,5120.556994583333,3592.4095666666667,6042.506730416667,7016.51342375,110.0
37,Austria,2015,4487.026910416666,1807.2195440416665,3019.740312916667,11755.246034458332,3199.375504583333,7585.995264583334,5916.057494916667,1038.5679637083333,5266.658154583333,3690.8456137499998,6448.842674458333,7304.8367123749995,101.0
38,Austria,2016,4464.67679875,1799.55242175,3063.8408254166666,11618.991786708333,3362.9470925,7734.9122404166665,5955.0380825,1179.6106171666668,5302.317307083334,3770.823282083333,6662.7685316666675,7420.886310416667,100.0
39,Austria,2017,4559.654840833334,1811.8701807916666,3057.0655475,11923.645316041666,3421.6242575,7816.252278333333,6229.940368333333,1165.5389981666667,5358.28064125,3869.478973333333,6918.629914166667,7506.32230875,101.0
40,Austria,2018,4685.634269583333,1863.5705319166666,3046.246122916667,12313.703044875001,3453.5266083333336,8059.792258333334,6547.578379583333,1238.6665724583333,5572.957845,3990.0105858333336,7052.23511875,7686.2992208333335,104.0
41,Austria,2019,4775.921307083333,1887.2931981666668,3053.1392591666668,12630.796009583333,3501.044288333333,8377.577568333332,6582.568393333334,1090.7878539583332,5672.9452075,4220.2977949999995,7337.46147625,7975.2797737500005,101.0
42,Austria,2020,5354.670575238095,2043.8320880476192,2313.5605133333333,12231.843874619048,3357.5175799999997,7959.3842942857145,5124.138175714285,1072.5209797619048,4478.027216666666,4221.21759,4934.279554285714,7325.863661904763,102.0
43,Austria,2021,7932.752314444444,2730.486327888889,3438.7257222222224,17367.08124111111,4966.288933333333,12824.24989777778,7562.287886666668,1526.7115833333332,6688.716146666667,7003.405725555556,7305.66163888889,11061.150239999999,105.0
63,Belgium,1997,5781.93511,1579.1162913333333,2439.33912,9664.554895666668,2676.195510222222,6218.509159333333,4672.932348222222,663.1101255555556,4145.243852444444,4228.6888944444445,2308.567604111111,7260.061234222222,105.0
64,Belgium,1998,5821.980484444444,1700.0479203333334,2426.9512533333336,9993.120900888889,2812.303463777778,6524.753971555556,4974.020935555555,738.8658111111112,4324.434852222223,4391.712663333334,2258.9964755555557,7776.029619999999,107.0
65,Belgium,1999,4989.886079285714,1589.0426325714286,2005.194065,8726.7403285,2477.0151279285715,5931.134122571429,4623.163663285714,688.8855935714286,3959.094998785714,3657.3822050000003,2007.0663964285716,6620.632888357142,102.0
66,Belgium,2000,5116.3957041428575,1630.453198857143,1959.6357814285714,9352.759052071428,2627.127686857143,6398.192588571429,5173.405316714286,918.4521078571428,4227.216400214286,3855.163895714286,2181.9416300000003,7658.578456642857,89.0
67,Belgium,2001,5366.225294428572,1686.2894535714288,1945.7094249999998,9715.059819,2588.788573071429,6638.950766714285,5060.7345605,997.7861700000001,4343.211194642857,4086.30733,2254.4878574285713,7690.699524571429,90.0
68,Belgium,2002,5622.103284428572,1760.5037673571428,2056.6489285714283,9836.559966714285,2555.8817045,6958.313006857143,5197.369447142858,1111.2342507142857,4404.730268428571,4335.583573571429,2405.381002857143,7836.991172928571,92.0
69,Belgium,2003,4994.54124125,1602.0382378333334,1799.78336375,8560.776915458333,2229.4688827083332,6622.3360605416665,4418.783715291666,1044.5421658333332,3893.628813375,3697.6544604166666,2078.73973125,6714.034181166667,103.0
70,Belgium,2004,5137.572450041666,1644.2962923750001,1857.3743120833333,8809.208813166666,2238.8527237499998,6579.8106,4656.74163975,1089.70886,4128.436920416667,3847.596965,2163.368156666667,6999.740359708333,109.0
71,Belgium,2005,5152.979498333333,1701.4032087083333,1949.8204504166667,9223.60203025,2305.4397825,6831.372925833333,4802.27201825,1119.8919191666666,4310.149076958333,4113.2118712500005,2223.4490079166667,7617.338347291666,109.0
